"","gen","BRCA","COADREAD","GBM","GBMLGG","HNSC","KIPAN","KIRC","LGG","LUAD","LUSC","OV","STES","THCA","UCEC","n_significance"
"132","LRP6",0.576001,0.017303,0.393732,0.844124,0.555293,0.103231,0.286225,0.649703,0,0.488396,0,0.566288,NA,0.038971,4
"133","LRRIQ1",0.159665,0,0.23797,0.116265,0.001725,0.447209,0.709263,0.725086,0.614483,0.857164,0,0.099386,NA,0.030475,4
"134","LRRK1",0.513882,0.719242,0.32085,0.967497,0.811025,0.529493,0.442271,0.592865,0,0.01934,0,0.086887,NA,0.03754,4
"135","LRRK2",0.012149,0.043884,0.651354,0.654077,0.202279,0.320881,0.806993,NA,0.422083,0.570818,0.022819,0.979086,0.936243,0.002839,4
"136","MAGEC1",0.562207,0.036161,0.674848,0.983928,0.340548,0.597359,0.627266,0.504537,0,0.652755,0,0.906148,1,0.038532,4
"137","MCF2",0.29753,0.034421,0.683255,0.606157,0.485087,0.787781,0.47864,0.54869,0,0.667134,0,0.162233,0.817488,0.047058,4
"138","MED12",0.831754,0.711613,0.409678,0.036522,0.184223,0.003795,0.104818,0.000159,0.178367,0.379362,0.291175,0.792472,NA,0.018492,4
"139","MGAM",0.25439,0.006259,0.321162,0.007035,0.30952,0.641152,0.995812,0.015461,0.525399,0.962524,0.253307,0.109639,0.957126,0.008827,4
"140","MPDZ",0.359904,0.226876,0.071713,0.015981,0.1084,0.270313,0.283346,2.2e-05,0.569755,0.449995,0,0.684007,0.593347,0.034351,4
"141","MTOR",0.358382,0.000169,0.001759,0.171507,0.259758,0.023686,0.15717,0.4729,0.661362,0.756868,0.966657,0.259472,NA,0.021783,4
"142","MUC16",0.373747,0,0.00188,3.4e-05,0.108952,0.47416,0.190244,0.20774,0.949019,0.050995,0.396159,0.769565,0.460344,3.1e-05,4
"143","MYH3",0.85593,0,0.927355,0.512034,0.545699,0.809618,0.456574,0.015858,0.958316,0.454168,0,0.947711,1,0.026599,4
"144","NALCN",0.016137,0.801642,0.218956,0.005663,0.724083,0.720166,0.240489,NA,0.195339,0.014923,0.602386,0.286002,1,0.010912,4
"145","NF1",0.644188,3.2e-05,0.092198,0.002405,0.300312,0.808472,0.996802,4e-06,0.198702,0.11002,0.095478,0.646802,0.797075,0.01037,4
"146","NFASC",0.629021,0.000959,0.057947,0.108179,0.555697,0.673581,0.552553,0.915706,0,0.11794,0,0.84527,NA,0.045405,4
"147","NRXN3",0.967818,0.038968,0.842269,0.554969,0.430868,0.363101,0.486986,NA,0.844734,0.045156,0,0.149335,0.880708,0.029159,4
"148","PCDH15",0.011979,0.154365,0.013299,0.068026,0.574414,0.993433,0.73017,0.646242,0.737106,0.73335,0.045901,0.70231,1,0.003206,4
"149","PCDH19",0.383643,0.016056,0.794107,0.779836,0.383804,0.885992,0.486375,0.31839,0.659062,0.045246,0.041524,0.704503,NA,0.017727,4
"150","PCDHA8",0.85633,0,0.618653,0.602825,0.454887,0.628323,0.4575,NA,0,0.232033,0,0.656367,NA,0.037442,4
"151","PCDHGA12",0.559154,0.76003,0.221632,0.014563,0.468248,0.504208,0.485585,NA,0,0.752498,0,0.41875,NA,0.04258,4
"152","PCDHGA5",0.391763,0.006623,0.723028,0.562676,0.359913,0.451547,0.459393,0.071328,0,0.548057,0,0.3547,NA,0.049189,4
"153","PDGFRA",0.524671,0,0.211107,0.001793,0.967227,0.892697,0.723234,0.060773,0.667564,0.693311,0,0.422203,NA,0.033097,4
"154","PHLDB2",0.671415,0.005266,0.270966,0.9419,0.198355,NA,NA,0.714681,0.630168,0.671388,0,0.202187,0.029338,0.037083,4
"155","POLA1",0.515665,0.772208,0.38934,0.801413,0.271001,0.632308,0.000353,0.77996,0,0.786313,0,0.739287,NA,0.040678,4
