"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"524" "ADCY9" "0.005" "0.015" "0.01" "0.013" "0.041" "0.008" "0.01" "0.033" "0.006" "0.006" "0.01" "0.002" "0.006" "0.006"
"525" "MAP7D2" "0.002" "0.005" "0.002" "0.011" "0.01" "0.002" "0.003" "0.035" "0.004" "0.006" "0.01" "0.002" "0.006" "0.004"
"526" "TRIP12" "0.005" "0.009" "0.007" "0.029" "0.048" "0.005" "0.008" "0.029" "0.007" "0.015" "0.015" "0.006" "0.022" "0.002"
"527" "FLNB" "0.009" "0.015" "0.007" "0.022" "0.057" "0.007" "0.007" "0.042" "0.006" "0.009" "0.015" "0.012" "0.014" "0"
"528" "SRGAP1" "0.004" "0.01" "0.012" "0.014" "0.03" "0.005" "0.003" "0.033" "0.007" "0.011" "0.019" "0.002" "0.012" "0"
"529" "PCDHGA5" "0.004" "0.008" "0.003" "0.014" "0.04" "0.002" "0.007" "0.038" "0.004" "0.013" "0.023" "0.006" "0.016" "0"
"530" "CYLC1" "0.004" "0.005" "0.004" "0.017" "0.048" "0.003" "0.005" "0.035" "0.007" "0.006" "0.017" "0.004" "0.02" "0"
"531" "AQR" "0.003" "0.006" "0.01" "0.008" "0.04" "0.005" "0.002" "0.035" "0.013" "0.004" "0.013" "0" "0.014" "0"
"532" "DLC1" "0.008" "0.013" "0.001" "0.035" "0.083" "0.01" "0.007" "0.038" "0.002" "0.017" "0.021" "0.006" "0.026" "0.01"
"533" "ALS2CR11" "0.002" "0.011" "0.002" "0.01" "0.022" "0.003" "0.002" "0.035" "0.004" "0.004" "0.01" "0" "0.008" "0"
"534" "CARD6" "0.007" "0.008" "0.006" "0.013" "0.016" "0.012" "0.005" "0.031" "0.007" "0.013" "0.006" "0.002" "0.02" "0.002"
"535" "SULF1" "0.004" "0.005" "0.005" "0.013" "0.061" "0.007" "0.005" "0.036" "0.007" "0.017" "0.013" "0" "0.01" "0"
