"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"127" "TUBGCP6" "0.001" "0.009" "0.009" "0.008" "0.046" "0.002" "0.005" "0.04" "0.009" "0.017" "0.01" "0" "0.012" "0"
"128" "B2M" "0.001" "0.003" "0.001" "0.008" "0.032" "0.002" "0.003" "0.005" "0" "0.008" "0.002" "0" "0.006" "0"
"129" "STAG1" "0.002" "0.012" "0.009" "0.021" "0.043" "0.002" "0.003" "0.029" "0.009" "0.008" "0.008" "0.002" "0.016" "0.002"
"130" "TRANK1" "0.005" "0.013" "0.007" "0.014" "0.054" "0.003" "0.002" "0.036" "0.007" "0.021" "0.023" "0.006" "0.02" "0.004"
"131" "SPEF2" "0.007" "0.01" "0.007" "0.017" "0.078" "0.007" "0.005" "0.035" "0.007" "0.019" "0.048" "0.008" "0.022" "0.004"
"132" "THBS2" "0" "0.005" "0.006" "0.029" "0.046" "0" "0.008" "0.038" "0.007" "0.015" "0.036" "0" "0.038" "0.002"
"133" "COL24A1" "0.006" "0.009" "0.007" "0.014" "0.045" "0.01" "0.005" "0.031" "0.013" "0.027" "0.023" "0.002" "0.036" "0.002"
"134" "WRN" "0.002" "0.01" "0.003" "0.014" "0.046" "0.002" "0.005" "0.016" "0.002" "0.008" "0.021" "0.002" "0.014" "0.002"
"135" "ABCC8" "0.001" "0.015" "0.002" "0.019" "0.054" "0.002" "0.002" "0.029" "0.002" "0.025" "0.015" "0" "0.024" "0.002"
"136" "PTPRJ" "0.005" "0.008" "0.01" "0.006" "0.054" "0.005" "0.002" "0.031" "0.007" "0.011" "0.011" "0.004" "0.01" "0.002"
"137" "ZNF676" "0.005" "0.007" "0.009" "0.008" "0.046" "0.008" "0" "0.018" "0.002" "0.027" "0.036" "0.002" "0.046" "0"
"138" "PTPRT" "0.006" "0.012" "0.01" "0.033" "0.088" "0.012" "0.014" "0.035" "0.009" "0.036" "0.048" "0" "0.048" "0.004"
"139" "KANK1" "0.003" "0.006" "0.003" "0.013" "0.051" "0.003" "0.003" "0.033" "0.004" "0.008" "0.008" "0.002" "0.008" "0"
"140" "CREBBP" "0.009" "0.015" "0.011" "0.035" "0.083" "0.012" "0.014" "0.047" "0.006" "0.038" "0.017" "0.006" "0.036" "0.002"
"141" "CASC3" "0.001" "0.003" "0.001" "0.005" "0.019" "0" "0.002" "0.016" "0" "0.002" "0.008" "0.002" "0" "0.004"
"142" "EP400" "0.008" "0.015" "0.023" "0.029" "0.081" "0.012" "0.005" "0.058" "0.019" "0.023" "0.021" "0.004" "0.032" "0"
"143" "LOC643677" "0" "0" "0" "0" "0" "0" "0" "0.055" "0" "0" "0" "0" "0" "0"
"144" "MACF1" "0.013" "0.034" "0.024" "0.043" "0.124" "0.02" "0.02" "0.075" "0.026" "0.045" "0.046" "0.004" "0.079" "0.006"
"145" "DNAH7" "0.011" "0.023" "0.012" "0.027" "0.115" "0.013" "0.008" "0.057" "0.019" "0.051" "0.061" "0.008" "0.071" "0.002"
"146" "GPR112" "0.011" "0.019" "0.011" "0.032" "0.059" "0.01" "0.008" "0.064" "0.009" "0.032" "0.086" "0.012" "0.042" "0.004"
"147" "HUWE1" "0.009" "0.035" "0.019" "0.032" "0.084" "0.013" "0.02" "0.057" "0.019" "0.049" "0.034" "0.004" "0.042" "0.004"
"148" "ARID1A" "0.014" "0.027" "0.021" "0.038" "0.169" "0.007" "0.005" "0.155" "0.02" "0.027" "0.031" "0.023" "0.028" "0"
