"markers","BRCA","COAD","COADREAD","GBMLGG","KIPAN","KIRC","KIRP","LGG","LUAD","LUSC","OV","READ","UCEC"
"CTSD",NA,0.000590349155811243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CX40.1",NA,0.000369474361242461,0.00209213353471538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYP2A13",NA,0.00184757035297423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DMTF1",NA,0.00129155847637874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDG5",NA,0.00160990866218957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F2R",NA,0.00131044552940451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FAIM2",NA,0.00105285481021666,0.00324257246845427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FAM133B",NA,0.00105905109366056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FGFBP2",NA,0.00117799348265935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GATAD1",NA,0.000157386389143088,0.00313812268829716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GDF15",NA,0.000336472528720377,0.000579741921006516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTF2IRD2",NA,0.00106401615023088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HAP1",NA,0.000770341168438882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HD",NA,0.00202778714475138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOXA2",NA,0.00139255550663286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOXB2",NA,0.00200730048898912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSD17B14",NA,0.000448964703760657,0.0019096320875257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IFI35",NA,0.00214108102626598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL15",NA,0.000433323767464633,0.00194848874462628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL18BP",NA,0.000537376110483212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
